"id","category","de","en","context","limit","status","note"
"store.architectscreen.cell-title-building","store","{gebaeude} ({stufe}) · Vorschau — {effekt} → Stufe {zielstufe}: {zieleffekt} · Formation ×{mult} · Struktur ×{faktor}","","Tooltip einer belegten Gebäudezelle: Name, Stufe, Effekt, Upgrade-Vorschau (#232), Formations-/Struktur-Multiplikatoren. Alle Segmente außer Name/Effekt sind konditional. · Var.: {gebaeude}=Bauplan-Name; {stufe}=aktuelle Stufe; {effekt}=Kurzeffekt; {zielstufe}/{zieleffekt}=Vorschau der nächsten Stufe (nur wenn aufwertbar); {mult}=Formations-×; {faktor}=Struktur-× · „ · Vorschau"" nur in der Bauvorschau; „ · Formation ×…"" nur wenn die Karte in einer Formation steht; „ · Struktur ×…"" nur auf einer erfüllten Struktur-Kombi","","new","DELTA seit 85921f7: GEÄNDERT — war „{gebaeude} ({stufe}) · Vorschau — {effekt} · Formation ×{mult} · Struktur ×{faktor}“"
"store.architectscreen.demolish-cancel","store","Abbrechen","","Abbrechen-Button im Abriss-Bestätigungsdialog.","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.demolish-confirm","store","Abreißen ✓","","Bestätigen-Button im Abriss-Dialog (löst tatsächlichen Abriss aus).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.demolish-confirm-q","store","Dieses Gebäude abreißen, um „{gebaeude}"" zu bauen?","","Frage im Abriss-Bestätigungsdialog (#235). · Var.: {gebaeude} = Name des zu bauenden Bauplans","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.demolish-loss-note","store","Geht beim Abriss verloren.","","Warnhinweis unter dem markierten Gebäude im Abriss-Dialog.","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.no-room-msg","store","Kein Platz für „{gebaeude}"". Soll ein Gebäude weichen? Tippe eins (rot gestrichelt) zum Markieren — es wird erst nach Bestätigen abgerissen.","","Meldung, wenn ein Bauplan nicht mehr aufs Brett passt (#235: zweistufiger Abriss). · Var.: {gebaeude} = Name des gewählten Bauplans · „Kein Platz"" und „Zerstören"" sind fett","","new","DELTA seit 85921f7: GEÄNDERT — war „Kein Platz für „{gebaeude}"". Soll ein Gebäude weichen? Tippe eins (rot gestrichelt) zum Zerstören — danach wird der Bauplan automatisch platziert.“"
"store.architectscreen.toggle-combos-label","store","Kombis","","Umschalt-Button: Kombi-Zellen am Brett rot hervorheben (◉ an / ○ aus). · Var.: ◉/○ = An/Aus-Zustand","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.toggle-combos-tooltip","store","Kombi-Zellen (volle Zeile/Spalte/Diagonale) rot hervorheben","","Tooltip des Kombis-Toggles am Architekt-Brett.","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.toggle-forms-label","store","Formationen","","Umschalt-Button: Formationsrahmen am Brett ein-/ausblenden (◉ an / ○ aus). · Var.: ◉/○ = An/Aus-Zustand","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.toggle-forms-tooltip","store","Formationsrahmen (Ring + Label) am Brett ein-/ausblenden","","Tooltip des Formationen-Toggles am Architekt-Brett.","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
"store.architectscreen.upgrade-confirm-btn","store","⬆ Aufwerten bestätigen","","Bestätigen-Button zum Aufwerten eines markierten Gebäudes (#237).","","new","DELTA seit 85921f7: NEU (in v1 nicht vorhanden)"
