"id","category","de","zh-Hans","en_ref","context","limit","status","note"
"building.A_BASILIKA.legendary.eff","building","Formations-Joker (Wiederholung/Farbblock/Treppe/Wechsel)","","formation wild (Repeat/Suit block/Stair/Zigzag)","Architekt-Gebäude „Basilika"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BOLLWERK.legendary.eff","building","alle Abgedeckten +6 Stichwert","","all covered cards +6 trick value","Architekt-Gebäude „Bollwerk"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier1.eff","building","passende Farbe +3 Stichwert","","matching suit +3 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier2.eff","building","passende Farbe +5 Stichwert","","matching suit +5 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier3.eff","building","passende Farbe +7 Stichwert","","matching suit +7 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_BUNTGLAS.tier4.eff","building","passende Farbe +9 Stichwert","","matching suit +9 trick value","Architekt-Gebäude „Buntglas"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier1.eff","building","höchste Karte +3 Stichwert","","highest card +3 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier2.eff","building","höchste Karte +5 Stichwert","","highest card +5 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe II","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier3.eff","building","höchste Karte +7 Stichwert","","highest card +7 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe III","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FIRST.tier4.eff","building","höchste Karte +9 Stichwert","","highest card +9 trick value","Architekt-Gebäude „Firstträger"" — Effekt Stufe IV","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FRIES.tier1.eff","building","Formations-Joker (Wiederholung)","","formation wild (Repeat)","Architekt-Gebäude „Fries"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_FUNDAMENT.legendary.eff","building","alle Abgedeckten +5 Stichwert","","all covered cards +5 trick value","Architekt-Gebäude „Fundamentplatte"" — Effekt (legendär)","","new","erzeugt aus src/i18n/buildingText.js"
"building.A_GEWOELBE.tier1.eff","building","Formations-Joker (Wiederholung/Treppe)","","formation wild (Repeat/Stair)","Architekt-Gebäude „Gewölbe"" — Effekt Stufe I","","new","erzeugt aus src/i18n/buildingText.js"
