"id","category","de","zh-Hans","context","limit","status","note"
"app.abort.help","i18n","Beenden & speichern merkt sich den Lauf; du kannst ihn später im Menü fortsetzen. Beenden wertet ihn und zeigt den Endscreen.","","role:text-body-lg längste","","new","DE-Länge 125 Zeichen"
"app.restart.help","i18n","Der aktuelle Lauf wird verworfen und ein neuer beginnt sofort. Das lässt sich nicht rückgängig machen.","","role:text-body-lg längste","","new","DE-Länge 102 Zeichen"
"arch.dev.catalog","i18n","Voll-Katalog (Dev): Kategorie → Familie → Stufe. Ein Bau pro Phase (danach Verschieben/Bestätigen).","","role:text-meta längste","","new","DE-Länge 99 Zeichen"
"arch.eyebrow","i18n","Architekt · Bauphase · Durchlauf {cycle}","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 40 Zeichen"
"arch.firn.title","i18n","Schnee · Reserve {n} (füllt einen Gletscher hier zum Durchlauf-Beginn)","","role:text-micro (alle 13)","","new","DE-Länge 70 Zeichen"
"arch.legendary","i18n","legendär","","role:text-micro (alle 13)","","new","DE-Länge 8 Zeichen"
"arch.noRoom.mark","i18n","Markiere ein Gebäude zum Abriss (am Brett oder unten), bei einem großen Bauplan evtl. mehrere. Abgerissen wird erst nach Bestätigen.","","role:text-body-lg längste","","new","DE-Länge 132 Zeichen"
"arch.noRoom.replace","i18n","kein Platz → ersetzen","","role:text-micro (alle 13)","","new","DE-Länge 21 Zeichen"
"arch.noRotate","i18n","⟳ nicht drehbar","","role:text-micro (alle 13)","","new","DE-Länge 15 Zeichen"
"arch.noRotate.title","i18n","Diese Form lässt sich nicht drehen (belegt eine ganze Segment-Zeile bzw. ist symmetrisch).","","role:text-body-lg längste","","new","DE-Länge 90 Zeichen"
"arch.place.help","i18n","zieh Gebäude am Brett an ihren Platz (Griff überall, ⟳ Drehen oben), beliebig oft. Unten Bestätigen startet den Durchlauf.","","role:text-body-lg längste","","new","DE-Länge 122 Zeichen"
"arch.plot.used","i18n","{n} belegt · {pct}%","","role:text-micro (alle 13)","","new","DE-Länge 19 Zeichen"
"arch.rotate","i18n","⟳ Drehen","","role:text-body-lg kürzeste","","new","DE-Länge 8 Zeichen"
"arch.struct.head","i18n","Struktur & Distrikt · ×Score je Durchlauf","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 41 Zeichen"
"arch.tier","i18n","Stufe {tier}","","role:text-micro (alle 13)","","new","DE-Länge 12 Zeichen"
"arch.upgrade.help","i18n","wähle unten ein Gebäude (oder tippe es am Brett an): es wird gold markiert, du siehst aktuellen und nächsten Effekt und bestätigst unten. Nicht aufwertbare (Legendär/No-op-Effekt/max) sind ausgegraut.","","role:text-body-lg längste","","new","DE-Länge 200 Zeichen"
"archpanels.tapHint","i18n","Antippen zeigt am Brett, wo es liegt, und umgekehrt.","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 52 Zeichen"
"bar.fire.heat","i18n","Hitze","","role:text-body kürzeste","","new","DE-Länge 5 Zeichen"
"bar.plant.forest.title","i18n","Weltenbaum: die Summe des Überlauf-Wachstums über alle grünen Karten zahlt je grünem Sieg (der ganze alte Wald).","","role:text-meta längste","","new","DE-Länge 112 Zeichen"
"bar.plant.maturing.more","i18n","+{n} weitere","","role:text-micro (alle 13)","","new","DE-Länge 12 Zeichen"
"bar.plant.nextRipe.title","i18n","Grobe Schätzung: nächster Setzling wird grün (aus Wachstumsrate × Restdistanz).","","role:text-body längste","","new","DE-Länge 79 Zeichen"
"bar.plant.tallest.title","i18n","Mutterbaum: der tiefste Baum (Überlauf-Wachstum über dem Wert-Deckel) zahlt je grünem Sieg und verdoppelt seinen Wurzel-Score.","","role:text-meta längste","","new","DE-Länge 126 Zeichen"
"board.rules.intro","i18n","Alle spielen wöchentlich denselben Seed unter fairer Baseline: der Upgrade-Baum hat keine Wirkung ({rerolls} Rerolls je Phase, alle Raritäten, Legendär-Phase in Durchlauf {legCycle}). Jede Woche verändern 3–5 zufällige Modifikatoren (≥2 positiv, ≥1 negativ) den Lauf, für alle identisch. Nur abgeschlossene Läufe zählen; am Wochenende wandert Platz 1 ins Challenger-Archiv, das Board startet neu.","","längste Beschreibung im Katalog","","new","DE-Länge 396 Zeichen"
"build.perks.emptyRun","i18n","Noch keine Perks. In manchen Durchläufen wählst du einen dazu.","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 62 Zeichen"
"build.skills.emptyRun","i18n","Noch keine Skills, ab Durchlauf {cycle} wählbar.","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 48 Zeichen"
"chronik.archCount","i18n","{n} Gebäude · {used}/{max} Zellen","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 33 Zeichen"
"common.cur.dp","i18n","DP","","role:text-meta kürzeste","","new","DE-Länge 2 Zeichen"
"common.cur.sp","i18n","SP","","role:text-meta kürzeste","","new","DE-Länge 2 Zeichen"
"deckdetail.consumer","i18n","Konsument","","role:text-micro (alle 13)","","new","DE-Länge 9 Zeichen"
"deckdetail.needs","i18n","braucht {name}","","role:text-micro (alle 13)","","new","DE-Länge 14 Zeichen"
"deckdetail.trimmable","i18n","trimmbar","","role:text-micro (alle 13)","","new","DE-Länge 8 Zeichen"
"dev.run.title","i18n","DEV RUN","","role:text-title (alle 8)","","new","DE-Länge 7 Zeichen"
"feedback.draftSent","i18n","Dein zuletzt hängengebliebener Report ist jetzt rausgegangen.","","role:text-body längste","","new","DE-Länge 61 Zeichen"
"feedback.err.offline","i18n","Der Melder ist in diesem Build nicht konfiguriert; dein Text geht hier gerade nirgendwohin.","","role:text-body längste","","new","DE-Länge 91 Zeichen"
"feedback.kind","i18n","Art","","role:text-meta kürzeste","","new","DE-Länge 3 Zeichen"
"feedback.name","i18n","Name","","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"form.collapse.more","i18n","mehr","","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"form.eyebrow","i18n","Aufstellung · Durchlauf {cycle}","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 31 Zeichen"
"form.hint.pre","i18n","Tippe zwei Karten zum Tauschen (1 Energie) · Formationen entstehen nur","","role:text-body längste","","new","DE-Länge 70 Zeichen"
"fxsyn.blackhole.desc","i18n","Ein persistentes Schwarzes Loch mitten im Feld, das über deine Siegesserie wächst: Jeder Sieg zieht die geschlagene Gegnerkarte spiralförmig in den Ereignishorizont und speist die rotierende Akkretionsscheibe, eine Niederlage lässt das Loch schrumpfen. Ist es groß genug gewachsen und kollabiert, zerreißt eine Supernova das Feld. In Standard blau/pink oder in der Deckfarbe.","","längste Beschreibung im Katalog","","new","DE-Länge 375 Zeichen"
"fxsyn.hologridSlice.desc","i18n","Eine Laserlinie fährt achsen-parallel über die geschlagene Gegnerkarte und deckt dabei ein Nahtraster auf. Danach zerfällt die Karte in ein Kachelgitter: die Stücke fliegen mit Rotation weg und prallen vom Boden ab, während das Kartenbild früh verblasst, sodass nur noch der leuchtende Hologrid-Rahmen bleibt. In Standard-Cyan/Magenta oder in der Deckfarbe.","","längste Beschreibung im Katalog","","new","DE-Länge 357 Zeichen"
"fxsyn.klinge.desc","i18n","Eine choreografierte Klinge zerteilt die Gegnerkarte. Grundzug ist ein Schnitt von links; je höher dein Serien-Multiplikator, desto mehr Richtungen fahren nacheinander ein (ab ×1,25 links/rechts im Wechsel, ab ×1,5 zusätzlich von oben, ab ×2,0 alle vier inkl. Z-Schnitt). Die Klinge schneidet dann auch härter. Eine Niederlage setzt die Serie zurück. In kühlem Stahlweiß oder in der Deckfarbe.","","längste Beschreibung im Katalog","","new","DE-Länge 393 Zeichen"
"gameover.chart.first","i18n","erster Lauf","","Laufweite: tracking-* ohne uppercase","","new","DE-Länge 11 Zeichen"
"gameover.chart.run","i18n","Lauf","","role:text-meta kürzeste","","new","DE-Länge 4 Zeichen"
"gameover.layout.hint","i18n","Antippen zeigt am Brett, wo es liegt.","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 37 Zeichen"
"glacierpick.intro.a","i18n","Sie friert auf ihrer Zelle fest. Ab dann","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 40 Zeichen"
"glacierpick.intro.b","i18n","(nicht mehr verschiebbar) und sammelt Masse, bis sie bricht. Entscheide zwischen Position und Wert.","","role:text-body längste","","new","DE-Länge 99 Zeichen"
"glacierpick.intro.rigid","i18n","starr","","role:text-body kürzeste","","new","DE-Länge 5 Zeichen"
"glacierpick.title","i18n","Wähle eine Karte als Gletscher","","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 30 Zeichen"
