"id","category","de","zh-Hans","context","limit","status","note"
"app.abort.help","i18n","Beenden & speichern merkt sich den Lauf; du kannst ihn später im Menü fortsetzen. Beenden wertet ihn und zeigt den Endscreen.","「结束并保存」会记住这一局，你之后可以在菜单里继续。「结束」则直接结算并显示结算画面。","role:text-body-lg längste","","new","DE-Länge 125 Zeichen"
"app.restart.help","i18n","Der aktuelle Lauf wird verworfen und ein neuer beginnt sofort. Das lässt sich nicht rückgängig machen.","当前这一局会被放弃，新的一局立即开始。此操作无法撤销。","role:text-body-lg längste","","new","DE-Länge 102 Zeichen"
"arch.dev.catalog","i18n","Voll-Katalog (Dev): Kategorie → Familie → Stufe. Ein Bau pro Phase (danach Verschieben/Bestätigen).","完整目录（Dev）：类别 → 系列 → 阶。每个阶段只能建造一次（之后移动/确认）。","role:text-meta längste","","new","DE-Länge 99 Zeichen"
"arch.eyebrow","i18n","Architekt · Bauphase · Durchlauf {cycle}","建筑师 · 建造阶段 · 第{cycle}轮","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 40 Zeichen"
"arch.firn.title","i18n","Schnee · Reserve {n} (füllt einen Gletscher hier zum Durchlauf-Beginn)","积雪 · 储量{n}（每轮开始时为此处的冰川回填）","role:text-micro (alle 13)","","new","DE-Länge 70 Zeichen"
"arch.legendary","i18n","legendär","传说","role:text-micro (alle 13)","","new","DE-Länge 8 Zeichen"
"arch.noRoom.mark","i18n","Markiere ein Gebäude zum Abriss (am Brett oder unten), bei einem großen Bauplan evtl. mehrere. Abgerissen wird erst nach Bestätigen.","标记一座要拆除的建筑（在棋盘上或下方列表里）；蓝图较大时可能需要标记多座。确认之后才会真正拆除。","role:text-body-lg längste","","new","DE-Länge 132 Zeichen"
"arch.noRoom.replace","i18n","kein Platz → ersetzen","没有空位 → 替换","role:text-micro (alle 13)","","new","DE-Länge 21 Zeichen"
"arch.noRotate","i18n","⟳ nicht drehbar","⟳ 不可旋转","role:text-micro (alle 13)","","new","DE-Länge 15 Zeichen"
"arch.noRotate.title","i18n","Diese Form lässt sich nicht drehen (belegt eine ganze Segment-Zeile bzw. ist symmetrisch).","这个形状无法旋转（它占满整行区段，或者本身是对称的）。","role:text-body-lg längste","","new","DE-Länge 90 Zeichen"
"arch.place.help","i18n","zieh Gebäude am Brett an ihren Platz (Griff überall, ⟳ Drehen oben), beliebig oft. Unten Bestätigen startet den Durchlauf.","在棋盘上把建筑拖到想要的位置（任意处都可拖动，⟳ 旋转在上方），次数不限。点击下方的「确认」开始本轮。","role:text-body-lg längste","","new","DE-Länge 122 Zeichen"
"arch.plot.used","i18n","{n} belegt · {pct}%","已占用{n} · {pct}%","role:text-micro (alle 13)","","new","DE-Länge 19 Zeichen"
"arch.rotate","i18n","⟳ Drehen","⟳ 旋转","role:text-body-lg kürzeste","","new","DE-Länge 8 Zeichen"
"arch.struct.head","i18n","Struktur & Distrikt · ×Score je Durchlauf","结构与街区 · 每轮得分倍率","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 41 Zeichen"
"arch.tier","i18n","Stufe {tier}","{tier}阶","role:text-micro (alle 13)","","new","DE-Länge 12 Zeichen"
"arch.upgrade.help","i18n","wähle unten ein Gebäude (oder tippe es am Brett an): es wird gold markiert, du siehst aktuellen und nächsten Effekt und bestätigst unten. Nicht aufwertbare (Legendär/No-op-Effekt/max) sind ausgegraut.","在下方选择一座建筑（或直接在棋盘上点击它）：它会被标成金色，你能看到当前效果和升级后的效果，然后在下方确认。无法升级的建筑（传说/效果无变化/已满级）显示为灰色。","role:text-body-lg längste","","new","DE-Länge 200 Zeichen"
"archpanels.tapHint","i18n","Antippen zeigt am Brett, wo es liegt, und umgekehrt.","点击即可在棋盘上定位它，反之亦然。","eyebrow: Hierarchie aus uppercase","","new","DE-Länge 52 Zeichen"
"bar.fire.heat","i18n","Hitze","热量","role:text-body kürzeste","","new","DE-Länge 5 Zeichen"
"bar.plant.forest.title","i18n","Weltenbaum: die Summe des Überlauf-Wachstums über alle grünen Karten zahlt je grünem Sieg (der ganze alte Wald).","世界树：所有绿色卡牌的溢出生长之和，会在每次绿色获胜时结算（整片老林一起算）。","role:text-meta längste","","new","DE-Länge 112 Zeichen"
"bar.plant.maturing.more","i18n","+{n} weitere","+{n}张","role:text-micro (alle 13)","","new","DE-Länge 12 Zeichen"
"bar.plant.nextRipe.title","i18n","Grobe Schätzung: nächster Setzling wird grün (aus Wachstumsrate × Restdistanz).","粗略估算：下一棵树苗何时变绿（由生长速度×剩余差值推算）。","role:text-body längste","","new","DE-Länge 79 Zeichen"
"bar.plant.tallest.title","i18n","Mutterbaum: der tiefste Baum (Überlauf-Wachstum über dem Wert-Deckel) zahlt je grünem Sieg und verdoppelt seinen Wurzel-Score.","母树：你最深的那棵树（数值上限之上的溢出生长）在每次绿色获胜时结算，并让自己的根系得分翻倍。","role:text-meta längste","","new","DE-Länge 126 Zeichen"
